,Subj,Narrative,가장 비중이 높은 토픽
85,86,"어릴적부터 부모에게 의지하지않았고 자립심이 강했다. 가정형편이 어려워지면서 어린 나이부터 아르바이트를 시작했고 그만큼 남들보다 사회에 대한 경험이 빨랐다. 예술전공이였기때문에 어떠한 직업을 가져야된다거나 직장에 들어가야한단 생각을 할 수 없었기에 아르바이트를 다양하게 했었고 정말 다양한 사람들을 만났다. 힘든일도 마다하지 않았고 그때부터 지금의 내 모습이 형성되어온거같다. 독립적이고, 강하고, 힘든일에도 쉽게 흔들리지 않고 다양한 사람들을 만나봤기에 눈치도 빠르고 상황파악도 빠르다. 그런 모든 일련의 시간들이 지금의 나를 만든 거 같고 덕분에 또래의 여성들보다도 많은 부분 쉽게쉽게 해결해나갈 수 있다는 장점이 생겼다.  아마 그런 시간들이 없었다면 굉장히 게으르고 베짱이 같은 삶을 살지 않았을까 라는 생각이 들지만 지금의 나는 굉장히 개미처럼 살고있다. 전에는 굉장히 세상이 원망스럽고 왜 나는 이렇게 살아야할까 라는 어리석은 자괴감에 많이 빠졌었지만 시간이 지나고 그런 것들이 전부 경험이 되고 나에게 좋으 밑거름이 되었다는 것을 깨닫고 이제는 지나간 시간들, 잘 견뎌준 나에게 박수를 쳐주고 싶을만큼 감사하다. ",3.0
86,87,"  초등학교 4학년 때 있었던 일입니다. 학창시절 사교적이고 쾌활한 성격 덕분에 친구들 사이에서 인기가 많았습니다. 항상 반장을 도맡아 했으며 선생님께도 인정받는 학생이었습니다. 모든 친구들과 선생님으로부터 신뢰가 높았고 그에 대해 항상 자부심이 있었습니다. 그러던 중 어느 한 여자친구와 친해졌고 그 여자친구는 인기 많은 제가 못마땅했던 것으로 기억합니다. 반에서 소위 대장 노릇하던 친구가 저와 단짝이 되면서 그 여자친구는 더욱 저를 질투했습니다. 그러면서 별거 아닌 일로 저에게 삐치는 일이 많았습니다. 그런 일이 반복하다보니 저는 스트레스를 받기 시작했습니다. 지금까지 모든 친구들이 저를 좋아하는 일만 있다가 갑자기 저에게 상처를 주는 친구가 생기니 감당하기 어려웠습니다. 그 일로 저는 신경성 장염을 앓았고 학교에서 툭하면 맞벌이하시는 부모님께 울면서 전화를 걸어 배가 아파서 집에 가고 싶다고 했습니다. 그 친구의 표정이나 저에게 하는 행동이 이상하면 저는 배가 아프지도 않으면서 배가 아프다는 핑계로 조퇴하거나 양호실에 가서 쉬었습니다. 이런 일을 부모님과 담임선생님까지 알게 되셔서 상담도 받고 하였지만 오랫동안 괴로웠던 걸로 기억합니다.저는 이 경험을 통해서 모든 사람들이 저를 좋아할 필요는 없었다는 걸 깨달았습니다. 미움받을 용기가 부족했던 것 같습니다. 결국 그 친구와 용기있게 절교선언을 하고 그 친구로부터 해방되었지만 다음 해 또 다른 친구가 저를 괴롭했습니다. 그 친구만 제외하고 다른 친구들하고만 다녔었으면 행복했었을텐데, 왜 그 친구한테만 오히려 제가 집착했었는지 후회가 됩니다. 그리고 제가 온전히 다른 지역으로 이사를 가게 되면서 행복한 학창시절을 보냈습니다.    하지만 성인이 되어서도 문득 친한 친구가 저에게 마구 화를 낼때에 가슴이 두근두근하고 일에 손이 안잡힐 때가 많습니다.이런 증상은 삶에서 사람과의 관계가 중요시 여기는 제 성향 떄문인 것 같습니다. 사교적이며 쾌활하고 밝고 남들에게는 분위기 메이커로 통하지만 어린시절 그 경험때문에 여전히 무슨 일이 있으면 타인의 눈치를 보고 사람과의 관계가 어려우면 금새 마음 한 구석이 나락으로 떨어지는 기분을 느낍니다.   하지만 저는 더욱 당당한 사람이 되고 싶으며, 그런 일에 더욱 자신감을 갖고 대처하고 싶습니다. ",4.0
87,88,어릴때 이사를 많이 다녔다 초등학교 2년동안 6번을 전학을 했던거 같은데.. . 이사를 갈때마다 새로운 친구를 사겨야하고 선생님도 그리고 바뀐 환경이 힘들었다 혹시라도 친구들이 나를 좋아하지 않으면 어쩌지 하는 마음에 먼저 말하기도 다가가기도 어려웠다 누구라도 먼저 말해주면 좋겠다 이렇게 생각만한거 같다 그러다 먼저 아는척해주거나 말걸어주면 난 그친구한테 한없이 좋은 사람이 되어주었다 학년이 바뀔때마다 걱정이 많이 되었다 또 새로운 친구를 사겨야하고 나랑 친한친구가 한명도 같은반이 안되면 어쩌나 하며 방학이 끝날때쯤이면 혼자서 걱정하곤 했던거같다 그때 이후부터 친구를 사귀거나 인간관계를 하는데 어려움을 겪었다 사람들에게 좋은사람으로 보여지고 싶어서 웃고 다니는 일이많고 누가 말을하거나 부탁을하면 거절하기도 힘들었다 내가 이렇게 해주는데 넌 왜 이렇게 해주지 않는지 속상한 마음도 많이 든다 그런데 그사람에게 표현을 못한다 내가 표현하면 싫어하지 않을까 나랑 안놀아주면 어쩌나 하는 마음에 걱정이 앞선다 좋고 싫음을 잘 표현하지 못하는거같다 그래서 그런지 앞에 나서는것도 힘들고 다른 사람들 말을 들어주는걸 좋아한다 내 말을 많이 하지 않는편이다 어릴때 이사를 많이해서 그런지 소심하고 내성적인 성격으로 변한거같다 ,0.0
88,89," 24살 대학생 때 지금의 아내를 사귀면서 일상생활에 많은 변화가 생기게 되었습니다. 그 이전까지 나만을 생각하는 이기적인 성향이었고, 횡단보도의 신호등이나 길거리에 침을뱉고 담배를 피우는 등의 행동들이 주변사람들에게 피해를 준다는 생각자체를 하지 않았지요.   그녀를 만나면서 조금씩 행동이 변화되면서 가치관까지 영향을 받게된게 아닌가 싶습니다. 지금은 어디에서도 침을 뱉지않고, 담배도 끊고 아무도없는 새벽에도 신호등을 반드시 지키는 행동들이 자연스러워졌지요.   지금 현재는 오히려 아내보다도 사회질서, 기본예의에 대한 의식이 더욱 높아져서 아내가 힘들어하는 상황이 되기도 합니다. 예를들어 플라스틱병이나 유리병을 씻어서 분리배출하고 식탁의자를 끌지못하도록(층간소음) 주의를 주기도 하는 등 완전 다른사람이 된거 같네요   이 글을 쓰면서 과연 나의 솔직한 마음을 무엇일까라는 고민을 해보게 되네요. 저의 경우를 본다면 일상행동에서의 조금씩의 변화가 쌓여가면서(잔소리 듣기싫어서 억지로 하던 행동) 그런 나의 행동을 나의 가치관이라고 받아들인게 아닌가 싶습니다. 그러면서 더욱 가치관은 확고해지게 되었죠.   제가 항상 마음에 담는 글은 ""내가 하기싫은일은 남도하기싫다"", ""내가 할일을 남에게 시키지말자"", ""남에게 피해를 주지않으면 나도 피해받지않는다"" 와 같은 말들이네요   그러다보니 저는 지금 기본을 지키고 책임있는 행동과말 그리고 이런것들을 변함없이 지켜가는 모습을 가지기 위해 항상 노력하고 돌아보고 있습니다.   앞선 설문지에 답변하다보니 지금의 나의 모습이 과연 진정한 나인가라는 질문에는 명학히 답변하긴 어렵네요. 혹시나 제약된 행동의 반복으로 인해 나의감정 등 모든 나의 본질들을 통제했던건 아닌가라는 삶에 대한 고민이 드는 순간입니다.  호기심에 참여한 연구였지만 나의 삶에 대해 깊이 생각해볼수 있는 계기가 되어 감사합니다. ",0.0
89,90,"어린시절, 저는 아버지가 9살 때 위암으로 돌아가셔서 어머니가 홀로 4남매를 키우셔서  아들만  3형제중 막내인 저는 큰누나가 엄마 역할을 하셔서 아직도 기억이 생생해요. 큰누나는 우리 3형제를 챙기기 바빴고 어머니는 생계를 책임지셔야 해서 안해본 일이 없으셨어요,     그렇게 성장하면서 고등학생 2학년때 가출도 해봤고, 결과는 별것도 없었지만, 마음 한켠의 추억이라고 할까요?  잘다디던 회사 때려치고 자판기 사업이란걸 시작했어요.  결과는 1년도 안되서 망했고  가족들이 돈문제로 많이 다투던걸 보고 아무말도 못하고 2002년 대전으로 기차타고 내려왔어요.  사실 도망오지 않았었도 됐는데 내명의의 집만 잘팔았었도...   나중에 어느정도의 시간이 지나 집에 갔더니, 두형들이 약간의 빛을 해결해 주셨더라구요. 신용불량자 인줄 알고 살았는데 신용불량자가 아니더라구요.   그렇게 형제들끼리 왕래가 시작 됬었요.  왜 그렇게 돈 문제로 싸우고 살았나 싶을 정도로, 지금은 3형제 아주 잘 지내고 있구요. 대전 내려와서 신문일도 하다가 우유일을 시작했어요.  우유일 하면서 만난 와이프랑 잘살고 있구요.  아직도 우유일을 하고있지만  돈을 모으면 우유 사무실을 내는게 제 목표랍니다.  근데 정말 돈을 모아서 뭔가를 한다는건 정말 어려운거 같아요.    열심히 매달 매달 대출 갚으면서 중2 아들래미 공부도 시키면서 살아가고 있어요. 행복이 뭐 별건가요?  요렇게 살아가면 행복이지요.",1.0
90,91,"신앙적인 이야기도 있어 공감하기 어려우실 수 있으나 아주 솔직하게 기술하겠습니다. 저의 이야기가 어느 잡지에서도 예시로 출현하지 않기를 바랍니다. (신앙을 빼놓고는 저를 이야기 할 수 없기 때문에 적게 되는 점 양해바랍니다.) 현재 나의 모습에 이르게 된 결정적인 경험은 바로 성경을 배우고 하나님이라는 분이 어떤 분인지, 예수님, 구원, 그분의 사랑, 나를 향한 계획과 바람을 알게 된 것입니다. 그 일은 2010년(만25세)에 있었습니다. 그 후 나의 삶은 완전히 달라지게 되었습니다. 단순히 술을 끊고, 담배를 끊는 사람들에게 보이는 외적인 모습 뿐만 아니라 아무도 쳐다보지 않는 나만의 시간에서도 향하는 관심과 가치관이 달라지게 되었습니다. 사람들에게 성경의 사실됨과 하나님의 살아계심, 죄에 대한 회개와 예수님의 사랑, 구원 받아야 함을 전하는 삶을 살게 되었습니다. 2010년부터 2012,2013년까지 그와 같은 삶을 살았습니다. 현재도 그런 삶을 살고 있습니다.  신앙을 갖게 된 것은 저를 매우 많은 생각을 하도록 만들었습니다. 성경을 배워보기 전에는 내가 하는 행동들에 대해 깊은 생각이 없습니다. 심리학에서 종종 이야기 하는 '죄의식'이 있었고 이후에는 있고 하는 것이 아닙니다. 구원 받기 이전에는 온전한 '나'만 있습니다. 자연인인 나만이 있습니다. 어떤 생각과 결정을 내리는데 막힘이 없습니다. 그리고 내가 행한 행동들에 기준은 당연히 '사람'들에 맞춰져 있습니다. 인류라고 하는 편이 좋겠습니다. 주변의 친구들이 사는 정도, 위인들이, 정치인들이, 연예인들이 사는 모습 정도로 나를 판단합니다. 그러나 성경을 배운 뒤 '영혼'의 존재와 영혼의 '심판'에 대해 알게 되었습니다. 성경의 신인 여호와께서 사람의 영혼을 지으셨음과 듣는귀 보는 눈 또한 지으셨고 나의 모든 일거수 일투족은 하나님 앞에 가 기록되어있으며 심판받게 된 다는 것을 알게 되었습니다. 나는 높은 자의식을 갖게 되었습니다. 대체 나는 누구인가, 왜 사는가, 어디서와서 어디로 가는가. 대다수의 사람들이 깊게 생각해보지 않은 것들에 대해 깊이 생각해보게 되었습니다. 내가 했던 말, 했던 생각, 했던 행동들에 대해서 말이지요. mbti와 기질론등을 통해서도 나를 깊이 이해하려고도 했습니다.   그런 중에 현재 2018년의 나의 모습에 이르게 된 결정적인 사건은 결혼입니다. 2013년에 지금의 아내를 만나 결혼하였습니다. 아내와는 많은 부분 다른 점들이 많습니다. 사실 위에 기술한 mbti와 기질은 아내를 만나고 공부해보게 되었습니다. 이런 것들은 아내를 이해하기 위한 노력의 일환입니다. 저는 우울점액질의 기질을 가진 사람입니다. 그 위에 성령의 인침을 받았습니다. 성령은 완전히 새로운 인격입니다. 사도 바울이 내 안에서 두가지의 법, 사람이 싸운다하는 그 싸움이 제게도 있습니다. 우울점액질+성령. 그것이 저입니다. 아내는 점액우울질입니다. 아내의 기질을 이해했다 하더라도 수학문제를 풀듯이 아내와의 모든 관계가 좋아지는 것만은 아닙니다. 결정적으로 다른 점이 있기 때문입니다. 그것은 '신앙'입니다. 신앙은 '강도'가 있습니다. 그 정도가 서로 다릅니다. 처음에는 아내가 달라질 것이라는 기대를 갖고 여러가지를 오랜 기간을 갖고 노력하고 시도해보았습니다만은 현재는 그런 모든 것들에 대한 끈을 놓은 상황이며 받아들이고 사는 상황입니다. 저의 기질과 현재 아내와의 상황으로 인해 저의 오늘과 같은 답이 나온 것 같습니다. 그러나 여전히 신뢰하는 하나님께 모든 상황의 키가 달려있음을 알고 믿고 있습니다. 그리하여 희망을 가지고 살아갑니다. 답을 마칩니다. 감사합니다.",0.0
91,92,"우선 나는 15세 때 정확히 말하면 1995년 9월 5일에 갑작스럽게 시신경염증이 찾아와서 시각장애를 입게 되었습니다. 그래서 6개월간 우리나라에서 가장 유명하다는 병원들을 전전하면서 고칠 수 없다는 판정을 받았습니다. 그 이후 사춘기 시절 가장 민감한 때 일반인과는 다른 장애 청소년으로 성장기를 거쳤습니다. 그래서 이러한 부분이 내가 앞으로 인생을 살아가는데 나의 성격, 나의 가치관, 나의 직업관, 나의 결혼관 등 모든 것이 변하였고 현재에 이르게 되었습니다.   그러나 여기서 나는 다른 장애를 가진 사람들과 다른 점은 질풍노도의 시기인 사춘기 시절에 장애를 갑작스럽게 입었음에도 불구하고 주위의 장애인 친구들에 비해 너무 고통스러워하거나 낙망함이 별로 없었습니다. 그런 이유는 나는 본래 남들보다 천성이 낙천적이고 가치관 형성 속도가 남들보다 느리기 때문입니다. 그래서 지방에 사는 내가 당시에 서울에 있는 병원으로 검사를 받았음에도 불구하고 서울로 여행을 간다는 것에 들떴고 행복했던 것 같습니다. 그러나 스무살 이후 대학에 들어가고 사회를 알아가고 주위에 비장애인 친구들을 사귀게 되면서 점점 내가 다른 사람들과 다르다는 점을 알게 되었고 일상생활에서의 어려움 통합된 사회에서의 불편함을 깨닫고 굉장한 스트레스를 받기 시작했습니다. 이전에는 알지 못했던 내 모습을 발견하고 앞으로의 살아갈 생활에 걱정을 하고 염려를 하기 시작했습니다. 하지만 본성이 낙천적이고 긍정적인 나로서는 이러한 스트레스도 잠시 며칠가지 못하고 그저 대학교에서 처음으로 느껴본 캠퍼스 생활, 처음으로 만나본 여자친구들과의 설레임으로 스트레스보다는 즐거운 생활이 더욱 많았던 것 같습니다.  그 후 직장을 갖고 결혼을 하면서 표면적으로는 안정을 찾았고 미래에 대한 두려움 보다는 가장으로서 앞으로 어떻게 남은 인생을 살아갈 것인가를 설계하기 시작하였으나 엄밀히 말하면 지금은 나의 장애를 극복했기 보다는 운명이라고 받아들이기 시작했습니다. 하지만, 내면에 진심은 아직도 눈이 보이기를 원하고 장애가 해소되어 일반인들과 동등한 위치에서 일하고 싶습니다. 현재는 가장 어려운 부분이 일하면서 느끼는 갈등, 동료관계에서 장애로서의 한계, 시각이 주가 되는 현대 사회에서 살아가기에 어려움이 있는 생활 속에서 나의 내면의 가치관이 조금씩 변하고 있습니다. ",3.0
92,93,"군 복무 중이었다. 사령관 주최 중요 내외빈 회식을 준비하고 있었고, 사령관 비서실장 점검 전까지 최고의 준비상황으로 선임 장교들에게 칭찬을 받았다. 하지만 사령관 비서실장 점검 후 모든게 망가졌다. 만찬 장소, 순서, 음식, 내외빈 참석 현황 등 모든게 완벽했지만... 사령관은 영일만 막걸리만 마셨다. 영일만 막걸리는 포항에서 주조되는 술로, 타 지역에서는 쉽게 구매하기 어려웠다. 당시 준비 중에는 사령관이 막걸리를 좋아한다고 들었지, 영일만 막걸리만 마신다는 사실을 전혀 알지 못했다. 전달받은 적도 없었다. 그런데... 비서실장 점검에서 이러한 상황을 알게 되었고, 수원에서 진행되는 행사장에서 영일만 막걸리를 공수하긴 어려웠다. 게다가 만찬 전까지 1시간도 남지 않은 상황이라 뭐 할 수 있는게 없었다. 지금까지 했던 모든 열심이 다 수포로 돌아가는, 그냥 망한 상황이었다. 체념했다. 그냥 혼나기를 각오했다. 그런데 비서실장은 달랐다. 최악의 상황이라 생각된 순간 포기하지 않고 어떻게든 상황을 전환하려고 노력했다. 일단 사령관 관사에 있는 영일만 막걸리 10여병을 공수해왔다. 그리고 주변 모든 상점과 식당을 더 수색해 5병을 더 구했다. 이렇게 구해진 15병을 사령관이 앉는 메인테이블에 배치했고, 나머지 영일만 막걸리는 수행인원을 사령관 옆에 배치해 사령관이 어떤 테이블로 이동하든 상관없이 영일만 막걸리를 마실 수 있도록 했다. 만찬은 아주 성공적으로 마무리되었습니다. 사령관은 만찬이 너무 만족스러워 당시 준비했던 인원들에게 회식비로 30만원을 포상했다. 영일만 막걸리 일을 겪은 후 선택은 순간이지만, 그 선택에 대한 결과는 시간의 흐름에 따라 관리가 가능하다는 것을 깨달았다. 사령관 비서실장이 점검하기 전까지는 최고의 만찬이었던 것이, 사령관 비서실장 점검 후 최악의 만찬으로 변했다. 그리고 최악을 면하기 위해 노력한 결과 어찌되었든 최고에 준하는 만찬이 될 수 있었다. 결국 인생에 있어 선택은 순간적이며, 선택한 순간 바로 그 결과가 평가되는 것 같지만 사실 선택의 결과물은 시간의 흐름에 따라 충분히 관리가 가능하다는 것이며, 언제든 보다 좋게 혹은 보다 안좋게 변화할 수 있다.",2.0
93,94,어려서부터 소심한 성격이어서 그런지 다른사람들의 시선에 신경을 많이 쓰는 편이다. 눈물도 많아서 어려서 친구들과의 놀이에서 규칙을 잘못이해해 술래가 되어야했던 기억 그리고 고등학교때 수학여행 장기자랑에서 친구들의 강요로 여장을 하고 무대에 올라야했던 기억 이러한 일련의 기억들이 지금의 소심한 성격을 나를 만들지 않았나 하는 생각이 든다. 물론 지금은 어렷을때와 성격과는 달리 까칠하고 쿨해 보이는 성격을 가지고있지만 이마저도 다른 사람들의 나에 대한 평가로 부터 자유롭기위해 내가 인위적으로 만들어낸 나의 자연스럽지 못한 모습이다. 다른사람들에게 상처받지 않기 위해서 다른 사람들에게 쉽게 다가가지 않는 편이다. 어렷을적 명절에 많은 친척들의 관심을 받는 예쁜 외모의 누나와 달리 평범하고 소심한 성격의 나는 친척들의 관심을 받지 못했다. 그래서인지 가족들 사이에서도 있는 그대로의 나의 모습을 잘 드러내지 못하는 것 같다. 현재 교사를 하고 있으면서도 다른 선생님들이나 학생들에게 나를 드러내야하는 직업임에도 불구하고 수업을 하거나 선생님들 앞에서 발표를 해야할때면 긴장을 해 손발에 땀이 많이 흐른다. 이러한 나의 모습은 어려서부터 공부만을 강요했던 부모님으로 부터 비롯된것이 아닌가 생각한다. 국민학교때부터 12시까지 강제적으로 공부를 시키셨고 성적이 떨어지거나 나태한 모습을 보일때면 체벌을 하셨기에 규칙을 지키고 틀에 맞는 사고는 잘 하나 창의적이나 자유로운 사고를 하는 능력은 많이 떨어진다고 생각한다. 교사를 처음할때 가끔씩은 내가 학생보다도 못하다는 자괴감에 빠져 괴로워하곤 하곤했고 교사의 자격이 없다는 생각을 하곤했다. 이제는 경험이 쌓여 그정도는 아니지만 여전히 내가 많이 부족한 교사라는 생각이 들기도 한다.,2.0
94,95,"현재의 나의 모습에 이르게 된 데는 특별한 경험보다는 성장배경이 더 크게 작용했다고 본다.  박봉의 공무원인 아버지와 가정주부인 어머니 아래에서 1남2녀의 장남으로 성장하면서 항상 장남으로서의 듬직한 모습, 역할, 근면, 책임감, 성실함 등을 강요받았고 그렇게 성장하면서 자연스럽게 성실하고 책임감 강한 모습이 형성되었다고 본다.  또한 아버지가 사회적으로 성공하지 못한 모습을 보면서 권력에 대한 욕구가 강하게 생겼으며 박봉의 공무원이라 경제적인 풍요로움과 절약을 강조했던 어머니의 모습을 보면서 돈에 대한 가치관이나 경제적인 풍요로움에 대한 동경 등이 생겨났다고 본다.  물론 한편으로는 '나는 우리 부모님처럼 살지는 말아야지' 하면서도  부지불식간에 부모님과 비슷하게 사고하는 행동하는 모습도 있다.  특히 나 자신의 생각과는 다르지만 타인을 의식해서 하는 행동이나 언행 등은  부모님의 모습과 매우 유사하다. 또한 최근에는 종교적인 영향도 있다고 본다.  결혼 후 10여년전부터 교회에 나가면서 하나님을 믿는 사람은 이래야한다는 윤리적, 종교적 틀에서 크게 벗어나지 않고자 사고나 행동을 조심하게 하면서  지금의 나의 모습이 조금씩 변화하는 것도 있는 듯 하다. 물론 종교를 갖고서 종교적, 윤리적으로 대단한 사람은 아니지만 사회적으로 종교를 갖고 있는 사람들에 대한 기대치에 어긋나지 않도록 행동하고 사고하려고 하는 편이다. 이러한 성장배경, 종교적인 영향 등이 지금의 나의 모습을 이르게 되는데 가장 큰 역할을 했다고 생각한다. ",0.0
95,96,나는 어렸을때 매우 말이없고 내성적이며 소극적인 아이였다. 나서는것도 싫어하고 친구도많지않았다. 그러다가 초등학교5학년때 담임선생님께서 처음으로 나에게 관심을보여주셨고 너는 참 여러가지로 재능도많고 가능성이있는 아이라고 말해주셨다. 그리고 얼마후 우리반에서 가장 이쁘고 공부를 잘했던 반장이 전학을 가게되었다  그날 선생님께서는 반대표로 아무나 앞으로 나와 그 전학가는 친구에게 마지막인사를 하라고 하셨다.나는 무슨 용기가났는지 손을 번쩍들었고 나가서 그친구에게 하고싶은말을 스스럼없이 이야기했다. 진솔하게 말하며 울음을 터트리기도했다. 나는 그날이후로 앞에나가 이야기하거나 발표하면서 내생각을 표현하는일이 쉬워졌다.그러면서 성격도 점차 외향적으로 바뀌어갔다.결국 나는 학창시절내내 얌전하게 생겨서 은근웃기고 재밌다는 얘길 들으며 많은 친구를 사귀게되었다.물론 요즘도 가끔 원래 성격이 나오면서 낯을 가릴때가 있지만 마음만 먹으면 누구와도 친해지고 내 자신을 보여주는게 어렵지는않다. 그리고 다른사람의 마음을 잘 읽고 그 사람에게 감동을 주는법도 그때부터 자연스럽게 터득한것같다. 그래서 지금도 다른사람의 다친마음을 어루만진다거나 공감하며 함께 슬퍼하는일은 어렵지않다. ,0.0
96,97,"얼마전 회사에서 타팀과 업무적인 충돌이 있었습니다. 내 생각과 현재 규격품과 다른 물건의 선정으로 다툼이 있었습니다. 타팀의 직원은 나보다 부하직원으로  업무뿐아니라 형,동생하며 친분있게 지냈습니다 그 친구도 성격이 좋고 나와 잘 맞는거 같아 좋은 관계로 생활하였습니다. 현장에 물건이 나갈 것이 있는데, 나의 실수로 인해 현장 작업중에 어려움이 생겼습니다. 전화통화에서 나는 괜찮다 해도 된다는 말을 하고 무조건 하라고 하였습니다 그러나 현장 감독관은 안된다 근거를 재시해라라는 말에 그 친구도 감독과과 다툼이 있었습니다. 근거를 찾아보려고 여러 자료를 찾아 보았지만, 근거 없었습니다. 나의 잘못된 판단에 의해 현장에서 어려움과 다툼으로 그 친구는 화가 났었습니다. 현장에 있던 그 친구는 퇴근후 회사에 와서 다짜고짜 따지기 시작했습니다. 나도 내자신에 대한 실망감이 생겼습니다. 그러나 나의 잘못을 인정하고 다시 선정 했습니다 그러나 그 친구는 자기가 얼마나 힘들고 어려웠는지 하소연과 화를 감추지 못하고, 언성이 높아졌습니다. 처음에는 나도 참고 참고 잘해 보려 했으나, 나도 나의 이성을 잃고 감정싸움이 시작되었습니다.  그 후 친한관계도 서먹서멋해 지고 업무상 마주치는 일도 거의 없이 지내고 있습니다. 잘 화를 내지 않는 나도 어쩔수 없는 상황이었습니다.  다시 시간이 지나면 친해질거라 생각 합니다.",0.0
97,98,"인생을 살아가면서 전환점을 마련해 주신 분들이 세분 계십니다. 이분들 때문에 제 인생이 형성, 변화, 발전하는 계기가 된 것 같습니다.   먼저 대학원 지도교수님께서 현재의 직장을 소개해 주셨습니다.  당시 나는 현재 내가 하고 있는 직업이 있는 줄도 몰랐고 이런 일을 하리라고 전혀 생각하지 못했습니다.  하지만 교수님의 추천으로 일을 시작하게 되었습니다. 교수님께서는 다른 학생들에게는 그렇게 친절하지 못했지만 저에게만큼은 친절히 대해 주셨습니다. 주위에서는 제가 교수님의 친척이 아니나는 이야기가 있을 정도였습니다.  어쨌든 교수님의 추천으로 현재 내가 하고 있는 일을 시작했고, 지금까지 거의 20여년 일을 해오고 있습니다. 소중한 인연으로 나의 인생의 단추가 잘 채워진 경우라고 생각하며, 지금도 지도교수님께 항상 감사한 마음을 가지고 있고 평생의 은인으로 생각하고 있습니다.   그리고 중간에 만난 보스 한분 때문에 다양한 경험을 하게 되었습니다.  당시 조금 내성적인 성격이었지만 사람들 앞에 나서서 말도 많이하고 세일즈도 하게 되면서 내 자신의 성격이 매우 적극적이고 외향적으로 바뀌게 되는 계기가 되었습니다. 그 분이 저에게 애뜻하게 해 주지는 않았지만 당시 상황으로 인해서 제 자신이 변화할  수 있는 좋은 계기가 된 것 같습니다.   또 다른 보스 한분은 저에게 직업의 가치에 대해서 다시 한번 생각하게 해 주시고, 삶을 살아가는 태도를 되돌아보게 해 주신 분이 있었습니다.  그 분은 매사에 열심히 하시고, 신중하고 고민을 많이 하시되, 한번 결정하면 끝까지 밀고 나가시는 분이었습니다. 삶을 대하는 태도는 제가 본받아야 하는 분이었고, 저 자신도 그렇게 바뀌어야 한다고 생각하게 되었습니다. 저에게 인생의 가치와 삶의 태도에 대해서 매우 중요한 인식의 계기를 심어지주신 분이었습니다. ",0.0
98,99,"평소에 만화책을 좋아하던 나는 고등학교때 만화책을 많이 읽었다. 공부보다 만화책에서 인생을 더 배우고 가치관을 배웠던 나는 인생에 절반은 만화책으로 보냈다고 생각한다. 만화책 세상은 틀에박히지 않은 세상에서 날 밖으로 꺼내주는 역할이었다. 꿈과 목표가 없던 나에게 만화책은 꿈과 목표를 만들어 주었고 지금의 날 만들어 주었다. 특히 고등학교때 읽었던 상남 2인조와 반항하지마라는 책은 지금의 날 만들어주는데 큰 역할을 하였다. 그 만화책에서는  구닥다리 사고방식에서 벗어나 자유롭고 긍정적인 에너지, 그리고 내가 꿈꾸던 학교라는 곳이 나타났다. 그 만화책의 주인공은 어렸을 적 학교에서 보낸 시간들이 괴로웠다. 그누구도 믿어주지 않고 어른들은 불량소년이라고만 낙인찍히던 주인공은 자신이 선생이 되어서 아이들을 아이들 있는 그대로를 믿고 따라주는 역할을 하였다. 중고등학교때 따분하고 규칙만 지키다가 졸업하던 나는 그 만화를 보고 어떤 형태로든 노는 학교에서 지내보고 싶다라는 생각을 하였고 그 생각은 지금의 나를 만들어 주었다. 내 인생에 가장 큰 영향은 부모님이지만 만화책 또한 그 영향력이 적지 않다고 생각한다. 나는 아직도 어디에 가서도 그 만화책 이야기를 한다. 그 책에서 나온 주인공이 학교에서 지내는 선생님의 모습을 따라가고 싶고 노력하고 싶다. 나 또한 학창시절을 돌아보면 굉장히 불만만 많고 하고싶은 말은 하지 못하고 그저 그렇게 소외당하는 학생중에 한명이었고 선생님들의 관심은 크게 받아보지 못하였다. 물론 받는것도 딱히 좋아하지 않았고 어른과 대화한다는것부터가 부담스러웠기 때문도 있었다. 그러나 나는 그 만화책을 보면서 느끼고 되고싶었다. 선생님이지만 선생님같지 않은, 어른이지만 어른같지 않은, 그런 사람이 되고싶었고 지금도 ing 중이다.",3.0
